metadata_date,source_file,station,freeway,direction,district,county,city,state_postmile,absolute_postmile,latitude,longitude,length,type,lanes,name,user_id_1,user_id_2,user_id_3,user_id_4
2020-10-02,d11_text_meta_2020_10_02.txt,1100776,163,N,11,73,66000,8.746,8.195,32.831466,-117.141296,,FR,2,CLAIREMONT MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100781,163,N,11,73,66000,10.811,10.26,32.854682,-117.119386,,FR,1,KEARNY VILLA RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100787,163,S,11,73,66000,7.833,7.235,32.8195,-117.148074,,FR,2,ARMOUR ST/MERCURY ST,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100790,163,S,11,73,66000,8.665,8.067,32.830482,-117.142066,,FR,1,CLAIREMONT MESA BLVD,11610,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100792,163,S,11,73,66000,8.906,8.308,32.833609,-117.140186,,FR,2,CLAIREMONT MESA BLVD,11609,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100796,163,S,11,73,66000,8.05,7.452,32.822354,-117.146524,,FR,1,MERCURY ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100802,805,N,11,73,50398,10.36,10.211,32.67811,-117.084893,,FR,2,PLAZA BLVD,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100805,805,N,11,73,66000,11.438,11.289,32.6911,-117.09462,,FR,2,47TH ST,15813,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100810,805,N,11,73,66000,12.35,12.201,32.704271,-117.094872,,FR,2,IMPERIAL AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100813,805,N,11,73,66000,13.208,13.059,32.714775,-117.102476,,FR,2,MARKET ST,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1100823,805,N,11,73,66000,16.5,16.351,32.756285,-117.125123,,FR,2,EL CAJON BLVD,10903,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100839,805,N,11,73,66000,24.534,24.385,32.858916,-117.184886,,FR,1,GOVERNOR DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100850,805,S,11,73,66000,18.491,18.342,32.78192,-117.140068,,FR,2,MURRAY RIDGE RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100860,805,S,11,73,66000,22.675,22.526,32.834806,-117.170551,,FR,1,CLAIREMONT MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100863,805,S,11,73,66000,22.655,22.506,32.834544,-117.170401,,FR,1,CLAIREMONT MESA BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100865,805,S,11,73,66000,24.434,24.285,32.857504,-117.184358,,FR,2,GOVERNOR DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100868,805,S,11,73,66000,25.939,25.79,32.875201,-117.199467,,FR,1,S805 LAJOLLA/MIRAMAR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1100871,805,S,11,73,66000,25.941,25.792,32.875227,-117.199483,,FR,1,EB MIRAMAR RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1107608,15,N,11,73,66000,23.023,23.28,33.013247,-117.079485,,FR,2,BERNARDO CENTER DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1107611,15,N,11,73,66000,23.688,23.945,33.022848,-117.078618,,FR,2,RANCHO BERNARDO RD,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108148,15,S,11,73,66000,M14.876,15.123,32.901576,-117.116607,.513,ML,6,CARROLL CANYON RD,11905,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108285,94,W,11,73,66000,2.235,.819,32.713318,-117.134145,.313,ML,4,28TH ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108286,94,W,11,73,66000,2.235,.819,32.713318,-117.134145,,OR,1,28TH ST ONR TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108287,94,W,11,73,66000,2.621,1.205,32.714211,-117.127908,.319,ML,4,At 32nd St,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108288,94,W,11,73,66000,2.621,1.205,32.714211,-117.127908,,OR,1,32ND ST ONR TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108289,94,W,11,73,66000,3.137,1.721,32.716724,-117.119831,.319,ML,4,At Southbound I-15,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108290,94,W,11,73,66000,3.137,1.721,32.716724,-117.119831,,OR,2,15SB To 94WB,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108291,94,W,11,73,66000,3.26,1.844,32.717134,-117.117861,.206,ML,5,At Northbound I-15,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108292,94,W,11,73,66000,3.26,1.844,32.717134,-117.117861,,OR,1,NB 15 TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108293,94,W,11,73,66000,3.55,2.134,32.717909,-117.113171,.36,ML,4,At Home Ave,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108294,94,W,11,73,66000,3.55,2.134,32.717909,-117.113171,,OR,1,HOME AV ONR TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108295,94,W,11,73,66000,3.98,2.564,32.718507,-117.106173,.641,ML,4,At Northbound I-805,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108296,94,W,11,73,66000,3.98,2.564,32.718507,-117.106173,,OR,2,NB 805 TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108297,94,W,11,73,66000,4.831,3.415,32.718104,-117.092449,.588,ML,5,At A St/49th St,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108301,94,W,11,73,66000,5.156,3.74,32.717955,-117.087127,,OR,1,EUCLID ONR TO WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108302,94,W,11,73,66000,5.156,3.74,32.717955,-117.087127,.391,ML,4,WB 94 @ NB EUCLID,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108303,94,W,11,73,66000,5.156,3.74,32.717955,-117.087127,,OR,1,N EUCLID ONR TO W 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108304,94,W,11,73,66000,5.614,4.198,32.720663,-117.080357,.525,ML,4,At Kelton Rd,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108305,94,W,11,73,66000,5.614,4.198,32.720663,-117.080357,,OR,2,56TH ST & KELTON RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108306,94,W,11,73,66000,6.205,4.789,32.726464,-117.072595,.812,ML,4,FEDERAL BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108307,94,W,11,73,66000,6.205,4.789,32.726464,-117.072595,,OR,1,FEDERAL BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108308,94,W,11,73,66000,7.24,5.824,32.734694,-117.057992,.777,ML,4,COLLEGE GROVE WAY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108309,94,W,11,73,66000,7.24,5.824,32.734694,-117.057992,,OR,2,COLLEGE GROVE WAY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108310,94,W,11,73,41124,7.76,6.344,32.740913,-117.052169,,OR,1,SB COLLEGE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108311,94,W,11,73,41124,7.76,6.344,32.740913,-117.052169,.451,ML,4,College Ave/Broadway,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108312,94,W,11,73,41124,7.76,6.344,32.740913,-117.052169,,OR,1,COLLEGE/BROADWAY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108313,94,W,11,73,41124,8.142,6.726,32.74454,-117.047105,.393,ML,4,MASSACHUSETTS AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108314,94,W,11,73,41124,8.142,6.726,32.74454,-117.047105,,OR,2,SB MASSACHUSETTS AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108315,94,W,11,73,41124,8.546,7.13,32.744864,-117.040554,.364,ML,4,WAITE DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108316,94,W,11,73,41124,8.546,7.13,32.744864,-117.040554,,OR,1,WAITE DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108317,94,W,11,73,41124,8.87,7.454,32.745268,-117.035279,.537,ML,4,LEMON GROVE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108318,94,W,11,73,41124,8.87,7.454,32.745268,-117.035279,,OR,1,LEMON GROVE AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108321,94,W,11,73,41124,10.113,8.593,32.748703,-117.017332,,OR,3,New WB 94 to WB 94,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108325,125,S,11,73,40004,15.015,17.418,32.759045,-117.005049,,OR,1,GROSSMONT BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108326,125,S,11,73,40004,15.225,17.628,32.761402,-117.002806,.933,ML,3,Eastbound I-8,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108327,125,S,11,73,40004,15.225,17.628,32.761402,-117.002806,,OR,1,EB I-8,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108328,78,E,11,73,53322,4.474,4.47,33.1885,-117.278185,1.367,ML,3,EMERALD DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108329,78,E,11,73,53322,4.474,4.47,33.1885,-117.278185,,OR,2,EMERALD DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108330,8,W,11,73,40004,12.135,14.092,32.777067,-117.005322,,OR,2,SB SR-125,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108331,163,S,11,73,66000,2.699,2.101,32.749679,-117.155519,.425,ML,2,WASHINGTON ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108332,163,S,11,73,66000,2.699,2.101,32.749679,-117.155519,,OR,2,WASHINGTON ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108333,8,W,11,73,66000,8.941,10.898,32.777651,-117.056226,1.111,ML,2,Southbound Waring Rd,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108334,8,W,11,73,66000,8.941,10.898,32.777651,-117.056226,,OR,2,SB WARING RD,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108335,8,W,11,73,40004,10.154,12.111,32.773478,-117.036798,,OR,2,SEG SB COLLEGE AVE,18009,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108336,8,W,11,73,40004,10.154,12.111,32.773478,-117.036798,1.015,ML,5,SEG NB COLLEGE AVE,18009,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108337,8,W,11,73,40004,10.154,12.111,32.773478,-117.036798,,OR,1,SEG NB COLLEGE AVE,18009,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108338,8,W,11,73,40004,11.351,13.308,32.772389,-117.017569,,OR,2,SB LAKE MURRAY BLVD,18106,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108339,8,W,11,73,40004,11.351,13.308,32.772389,-117.017569,.325,ML,4,LAKE MURRAY/PARKWAY,18106,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108340,8,W,11,73,40004,11.351,13.308,32.772389,-117.017569,,OR,1,LAKE MURRAY/PARKWAY,18106,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108341,8,W,11,73,40004,12.352,14.309,32.778547,-117.002027,.124,ML,4,WB FLETCHER PKWY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108342,8,W,11,73,40004,12.351,14.308,32.77854,-117.002043,,OR,3,WB FLETCHER PKWY,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108343,8,W,11,73,40004,10.972,12.929,32.771107,-117.023752,1.341,ML,4,SPRING ST/CENTER ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108344,8,W,11,73,40004,10.972,12.929,32.771107,-117.023752,,OR,2,SPRING ST/CENTER ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108345,8,W,11,73,40004,11.624,13.581,32.774158,-117.013463,.414,ML,5,JACKSON DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108346,8,W,11,73,40004,11.624,13.581,32.774158,-117.013463,,OR,2,JACKSON DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108347,8,W,11,73,40004,12.405,14.362,32.778899,-117.001223,.363,ML,4,Segment Severin Dr,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108348,8,W,11,73,40004,12.405,14.362,32.778899,-117.001223,,OR,2,SEG SEVERIN DR,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108350,8,W,11,73,40004,12.33,14.287,32.778392,-117.002356,,OR,1,SEG NB SR-125,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108351,8,W,11,73,21712,13.475,15.432,32.779945,-116.983405,.723,ML,4,EL CAJON BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108352,8,W,11,73,21712,13.472,15.429,32.779918,-116.983444,,OR,3,EL CAJON BLVD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108353,8,W,11,73,21712,14.525,16.482,32.793962,-116.97744,.84,ML,4,MAIN ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108354,8,W,11,73,21712,14.493,16.45,32.793495,-116.977508,,OR,2,MAIN ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108355,8,W,11,73,21712,15.816,17.773,32.803149,-116.962095,,OR,3,DUM SB SR-67,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108356,8,W,11,73,21712,16.453,18.41,32.803161,-116.951206,.413,ML,3,MOLLISON AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108357,8,W,11,73,21712,16.453,18.41,32.803161,-116.951206,,OR,2,MOLLISON AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108358,8,W,11,73,21712,17.332,19.289,32.803169,-116.936214,.461,ML,2,2ND St To 8 WB,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108359,8,W,11,73,21712,17.332,19.289,32.803169,-116.936214,,OR,2,SR-54/2ND ST,1,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108360,8,E,11,73,40004,11.12,13.077,32.770932,-117.02113,.446,ML,4,Segment El Cajon Blv,40,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108361,8,E,11,73,40004,11.12,13.077,32.770932,-117.02113,,OR,1,SEG EL CAJON BLVD,40,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108362,8,E,11,73,40004,11.12,13.077,32.770932,-117.02113,,OR,1,EL CAJON BLVD/SPRING,40,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108363,8,E,11,73,40004,10.2,12.157,32.773434,-117.036153,.778,ML,5,SEG SB COLLEGE AVE,18012,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108364,8,E,11,73,40004,10.2,12.157,32.773434,-117.036153,,OR,1,SEG SB COLLEGE AVE,18012,,,
2020-05-29,d11_text_meta_2020_05_29.txt,1108365,8,E,11,73,40004,10.2,12.157,32.773434,-117.036153,,OR,1,SEG NB COLLEGE AVE,18012,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108366,8,E,11,73,66000,6.258,8.215,32.778944,-117.101735,.428,ML,4,SB FAIRMOUNT/MISSION,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108367,8,E,11,73,66000,6.258,8.215,32.778944,-117.101735,,OR,2,SB FAIRMOUNT/MISSION,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108369,8,E,11,73,66000,4.038,5.995,32.770348,-117.137456,,OR,1,NB TEXAS ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108371,8,E,11,73,66000,4.021,5.978,32.770281,-117.137738,,OR,2,SB TEXAS ST,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108372,125,N,11,73,,13.614,15.373,32.754424,-117.01021,1.515,ML,3,CAMPO RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108373,125,N,11,73,,13.614,15.373,32.754424,-117.01021,,OR,2,CAMPO RD,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108374,94,E,11,73,66000,5.16,3.744,32.71801,-117.08462,.491,ML,5,EUCLID AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108375,94,E,11,73,66000,5.16,3.744,32.71801,-117.08462,,OR,1,EUCLID AVE,1,,,
2020-10-02,d11_text_meta_2020_10_02.txt,1108376,94,E,11,73,66000,2.631,1.215,32.714326,-117.126912,.378,ML,4,32ND ST,1,,,
